"Рег. номер cертификата соответствия (СС)","Номер бланка","Заявитель","Юридический адрес заявителя","Контакты заявителя","Изготовитель","Юридический адрес изготовителя","Контакты изготовителя","Наименование продукции","Датавыдачи СС","Дата окончания действия СС","Класс","Схема","Органпосертификации","ЦОС","Примечание"
"ОГН4.RU.1112.B02685","П04622;","Общество с ограниченной ответственностью Великолукский Аккумуляторный Завод Импульс»","Российская Федерация, 182115, Псковская область, г. Великие Луки, ул. Гоголя, д.3, пом.3.","+7 (81153) 9-19-55, 9-29-62; mail@akbluki.ru","Общество с ограниченной ответственностью Великолукский Аккумуляторный Завод Импульс»","Российская Федерация, 182115, Псковская область, г. Великие Луки, ул. Гоголя, д.3, пом.3.","+7 (81153) 9-19-55, 9-29-62; mail@akbluki.ru","Батареи аккумуляторные свинцово-кислотные стационарные герметизированные необслуживаемые, серий АН, ГН и OPzV. Серийный выпуск","16.10.2023","15.10.2026","IId","2d","ОС ООО ПРОММАШ ТЕСТ», рег. № ОГН4.RU.1112 (ООО ПРОММАШ ТЕСТ»)","Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства",""
"ОГН4.PT.1113.A00971","П01508;","Общество с ограниченной ответственность Акку-Фертриб» (ООО Акку-Фертриб»)","Российская Федерация, 119311, г. Москва, пр-т Вернадского, дом 8А","+7(495)223-45-81; 228-13-13 доб. 130; av_info@akku-vertrieb.ru","Exide Technologies, Lda","Португалия, Av. Dr. Carlos Leal 2600-729 Castanheira do Ribatejo, Portugal","263-286-908; 200-865; exide_portugal@exideworld.com","Аккумуляторы свинцово-кислотные серии Classic GroE, тип 12 GroE 1200. Продукция изготовлена в соответствии с ТУ-3481-124-26342755-2015. Партия, 212 штук.","20.02.2021","","2е","2е","ОС ООО ЦС ЭДС», рег. № ОГН4.RU.1113 (ООО ЦС ЭДС»)","Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства",""
"ОГН4.RU.1113.B01263","П01997; ПП 01243","Общество с ограниченной ответственностью ЭНЕРГОЛОГИКА» (ООО ЭНЕРГОЛОГИКА»)","Российская Федерация, 115201, г. Москва, Каширский проезд, д. 13, этаж 4, помещение XV, комната 37","+7(499)490-03-64; info@energologika.ru","Общество с ограниченной ответственностью ЭНЕРГОЛОГИКА» (ООО ЭНЕРГОЛОГИКА»)","Российская Федерация, 115201, г. Москва, Каширский проезд, д. 13, этаж 4, помещение XV, комната 37","+7(499)490-03-64; info@energologika.ru","Комплексы автоматического измерения и учета выбросов загрязняющих веществ АКПВ. Продукция изготовлена в соответствии с Техническими условиями ЕРТН.421441.001 ТУ Комплексы автоматического измерения и учета выбросов загрязняющих веществ АКПВ» (изм. 1). Серийный выпуск.","07.06.2021","06.06.2024","2d","2d","ОС ООО ЦС ЭДС», рег. № ОГН4.RU.1113 (ООО ЦС ЭДС»)","Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства",""
"ОГН4.RU.1113.B01385","П02626; ПП 01296; ПП 01297; ПП 01298; ПП 01723","Общество с ограниченной ответственностью МЗВА» (ООО МЗВА»)","Российская Федерация, 105120, г. Москва, Сыромятническая Нижняя ул., д. 11, кор. 2, комната 2.1.","+7(495)305-58-73; info@mzva.ru","Общество с ограниченной ответственностью Чкаловский электромеханический завод» (ООО ЧЭМЗ»)","Российская Федерация, 606540, Нижегородская область, г. Чкаловск, ул. Пушкина, д. 46.","+7(83160)4-53-76; chmz-1@yandex.ru","Арматура линейная, изготовленная по ТУ 3449-001-52819896-2010 (изм. 55)», Арматура линейная для ВЛЗ напряжением 6-110 кВ», изготовленная по ТУ 3449-001-52819896-2017 (изм. 7). Серийный выпуск.","16.08.2021","15.08.2024","Iс","1с","ОС ООО ЦС ЭДС», рег. № ОГН4.RU.1113 (ООО ЦС ЭДС»)","Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства",""
"ОГН4.RU.1113.B01386","П02627;","Общество с ограниченной ответственностью МЗВА» (ООО МЗВА»)","Российская Федерация, 105120, г. Москва, Сыромятническая Нижняя ул., д. 11, кор. 2, комната 2.1.","+7(495)305-58-73; info@mzva.ru","Общество с ограниченной ответственностью Чкаловский электромеханический завод» (ООО ЧЭМЗ»)","Российская Федерация, 606540, Нижегородская область, г. Чкаловск, ул. Пушкина, д. 46.","+7(83160)4-53-76; chmz-1@yandex.ru","Зажимы поддерживающие типа PS 1500, изготовленные по ТУ 3449-005-52819896-2010 Анкеры и поддерживающие зажимы для ВЛИ с СИП-2 до 1 кВ. Технические условия» (изм. 6). Серийный выпуск.","16.08.2021","15.08.2024","Iс","1с","ОС ООО ЦС ЭДС», рег. № ОГН4.RU.1113 (ООО ЦС ЭДС»)","Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства",""
"ОГН4.RU.1115.B01755","П02866;","Общество с ограниченной ответственностью ВОДПРОЕКТСТРОЙ» (ООО ВОДПРОЕКТСТРОЙ»)","Российская Федерация, 119501, г. Москва, ул. Веерная, д.3, корп.4, этаж цоколь, пом. II, ком.1","+7(495)442-10-20; info@vodproektstroy.ru","Обособленное подразделение общества с ограниченной ответственностью ВОДПРОЕКТСТРОЙ» (ОП ООО ВОДПРОЕКТСТРОЙ»)","Российская Федерация, 171250, г. Конаково, ул. Восточно-Промышленный район, д. 7","+7(48242)3-01-82; 3-04-28; info@vodproektstroy.ru","Станция подготовки питьевой, технической и оборотной воды ВПСспв», производительностью 10-100000 м3/сут., выпускаемая по ТУ 4859-005-93265872-2012. Серийный выпуск.","06.05.2022","19.01.2024","1d","1d","ОС продукции ЦентрГазСерт-Качество», рег. № ОГН4.RU.1115 (ООО НУЦ Качество»)","Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства",""
"ОГН4.RU.1115.B01756","П02867;","Общество с ограниченной ответственностью ВОДПРОЕКТСТРОЙ» (ООО ВОДПРОЕКТСТРОЙ»)","Российская Федерация, 119501, г. Москва, ул. Веерная, д.3, корп.4, этаж цоколь, пом. II, ком.1","+7(495)442-10-20; info@vodproektstroy.ru","Обособленное подразделение общества с ограниченной ответственностью ВОДПРОЕКТСТРОЙ» (ОП ООО ВОДПРОЕКТСТРОЙ»)","Российская Федерация, 171250, г. Конаково, ул. Восточно-Промышленный район, д. 7","+7(48242)3-01-82; 3-04-28; info@vodproektstroy.ru","Канализационные насосные станции для перекачки хозяйственно-бытовых и производственно-ливневых сточных вод серии ВПСкнс», выпускаемая по ТУ 28.13.14-007-93265872-2013 изм. 1. Серийный выпуск.","06.05.2022","19.01.2024","1d","1d","ОС продукции ЦентрГазСерт-Качество», рег. № ОГН4.RU.1115 (ООО НУЦ Качество»)","Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства",""
"ОГН4.RU.1115.B01997","П03493; ПП 02812; ПП 02815; ПП 02816; ПП 02817; ПП 02818; ПП 02819","Общество с ограниченной ответственностью КОМЭКОПРОМ» (ООО КОМЭКОПРОМ»)","Российская Федерация, 171250, Тверская область, г. Конаково, ул. Восточно-Помышленный район, д. 7","+7(48242)3-01-82; 3-04-28; 101@komekoprom.ru","Общество с ограниченной ответственностью КОМЭКОПРОМ» (ООО КОМЭКОПРОМ»)","Российская Федерация, 171250, Тверская область, г. Конаково, ул. Восточно-Помышленный район, д. 7","+7(48242)3-01-82; 3-04-28; 101@komekoprom.ru","ТИП ПРОДУКЦИИ - Установки для очистки хозяйственно-бытовых и производственных стоков и установки для очистки ливневых, нефтесодержащих и близких по составу производственных сточных вод КСкомплект», выпускаемые по ТУ 28.29.12-001-56336261-2021 с изменениями 1-2","05.08.2022","04.08.2025","СМК+","СМК+","ОС продукции ЦентрГазСерт-Качество», рег. № ОГН4.RU.1115 (ООО НУЦ Качество»)","Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства",""
"ОГН4.RU.1115.B01998","П03449; ПП 02820; ПП 02821; ПП 02822","Общество с ограниченной ответственностью КОМЭКОПРОМ» (ООО КОМЭКОПРОМ»)","Российская Федерация, 171250, Тверская область, г. Конаково, ул. Восточно-Помышленный район, д. 7","+7(48242)3-01-82; 3-04-28; 101@komekoprom.ru","Общество с ограниченной ответственностью КОМЭКОПРОМ» (ООО КОМЭКОПРОМ»)","Российская Федерация, 171250, Тверская область, г. Конаково, ул. Восточно-Помышленный район, д. 7","+7(48242)3-01-82; 3-04-28; 101@komekoprom.ru","ТИП ПРОДУКЦИИ - Установки очистки воды серии БОВ», выпускаемые по ТУ 28.29.12-002-56336261-2021 с изменениями 1-2","05.08.2022","04.08.2025","СМК+","СМК+","ОС продукции ЦентрГазСерт-Качество», рег. № ОГН4.RU.1115 (ООО НУЦ Качество»)","Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства",""
"ОГН4.RU.1115.B02105","П03857;","Общество с ограниченной ответственностью Инекс-Сочи»","Российская Федерация, 354068, Краснодарский край, г. Сочи, ул. Пасечная, 45, офис 1","+7(862)255-10-08; 255-10-09; 255-32-11; inecs@sochi.com","Общество с ограниченной ответственностью Инекс-Сочи»","Российская Федерация, 354068, Краснодарский край, г. Сочи, ул. Пасечная, 45, офис 1","+7(862)255-10-08; 255-10-09; 255-32-11; inecs@sochi.com","Станции насосные канализационные, выпускаемые по ТУ 4859-009-10083168-2013, серийный выпуск","28.10.2022","23.03.2024","Id","1d","ОС продукции ЦентрГазСерт-Качество», рег. № ОГН4.RU.1115 (ООО НУЦ Качество»)","Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства","Выдан взамен СС рег. № ОГН4.RU.1301.B01013"
"ОГН4.RU.1115.B02552","П04365; ПП 03503","Общество с ограниченной ответственностью ПРОТЭК»","Российская Федерация, 125212, город Москва, улица Адмирала Макарова, дом 8, строение 1, помещение XVII, ком. 7","+7(495)921-47-16; aubel@list.ru","Общество с ограниченной ответственностью ПРОТЭК»","Российская Федерация, 125212, город Москва, улица Адмирала Макарова, дом 8, строение 1, помещение XVII, ком. 7","+7(495)921-47-16; aubel@list.ru","ТИП ПРОДУКЦИИ-Блоки технологические и их комплектация по ТУ 28.99.39-001-92630737-2019 с изменением 14, серийный выпуск","22.05.2023","21.05.2026","СМК+","СМК+","ОС продукции ЦентрГазСерт-Качество», рег. № ОГН4.RU.1115 (ООО НУЦ Качество»)","Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства",""
"ОГН4.RU.1115.B02575","П04366;","Общество с ограниченной ответственностью Научно-производственная фирма ВИСМА» (ООО НПФ ВИСМА»)","Российская Федерация, 450022, Республика Башкортостан, г.Уфа, ул. Менделеева,  дом 134, корпус 7, офис 301","+7(347)285-11-02; mail@visma.su","Общество с ограниченной ответственностью Научно-производственная фирма ВИСМА» (ООО НПФ ВИСМА»)","Российская Федерация, 450022, Республика Башкортостан, г.Уфа, ул. Менделеева,  дом 134, корпус 7, офис 301","+7(347)285-11-02; mail@visma.su","ТИП ПРОДУКЦИИ-Модульные насосные станции блочного исполнения тип НС ТУ 3631-011-04892254-2015 (с изменением 5) 05.05.2023|04.05.2026|СМК+|СМК+|ОС продукции ЦентрГазСерт-Качество», рег. № ОГН4.RU.1115 (ООО НУЦ Качество»)|Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства","","","","","","",""
"ОГН4.RU.1115.B02576","П04367;","Общество с ограниченной ответственностью Научно-производственная фирма ВИСМА» (ООО НПФ ВИСМА»)","Российская Федерация, 450022, Республика Башкортостан, г.Уфа, ул. Менделеева,  дом 134, корпус 7, офис 301","+7(347)285-11-02; mail@visma.su","Общество с ограниченной ответственностью Научно-производственная фирма ВИСМА» (ООО НПФ ВИСМА»)","Российская Федерация, 450022, Республика Башкортостан, г.Уфа, ул. Менделеева,  дом 134, корпус 7, офис 301","+7(347)285-11-02; mail@visma.su","ТИП ПРОДУКЦИИ-Канализационная насосная станция тип КНС ТУ 4859-010-04892254-2015 (с изменением 5)|05.05.2023|04.05.2026|СМК+|СМК+|ОС продукции ЦентрГазСерт-Качество», рег. № ОГН4.RU.1115 (ООО НУЦ Качество»)|Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства","","","","","","",""
"ОГН4.RU.1115.B02577","П04368;","Общество с ограниченной ответственностью Научно-производственная фирма ВИСМА» (ООО НПФ ВИСМА»)","Российская Федерация, 450022, Республика Башкортостан, г.Уфа, ул. Менделеева,  дом 134, корпус 7, офис 301","+7(347)285-11-02; mail@visma.su","Общество с ограниченной ответственностью Научно-производственная фирма ВИСМА» (ООО НПФ ВИСМА»)","Российская Федерация, 450022, Республика Башкортостан, г.Уфа, ул. Менделеева,  дом 134, корпус 7, офис 301","+7(347)285-11-02; mail@visma.su","ТИП ПРОДУКЦИИ-Комплекс водоочистки КВО ТУ 3697-007-04892254-03 (с изменением 5)|05.05.2023|04.05.2026|СМК+|СМК+|ОС продукции ЦентрГазСерт-Качество», рег. № ОГН4.RU.1115 (ООО НУЦ Качество»)|Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства","","","","","","",""
"ОГН4.RU.1115.B02578","П04369; ПП 03521; ПП 03522; ПП 03523; ПП 03524","Общество с ограниченной ответственностью Научно-производственная фирма ВИСМА» (ООО НПФ ВИСМА»)","Российская Федерация, 450022, Республика Башкортостан, г.Уфа, ул. Менделеева,  дом 134, корпус 7, офис 301","+7(347)285-11-02; mail@visma.su","Общество с ограниченной ответственностью Научно-производственная фирма ВИСМА» (ООО НПФ ВИСМА»)","Российская Федерация, 450022, Республика Башкортостан, г.Уфа, ул. Менделеева,  дом 134, корпус 7, офис 301","+7(347)285-11-02; mail@visma.su","ТИП ПРОДУКЦИИ-Комплексы очистки сточных вод КОСВ, выпускаемые по ТУ 4859-008-04892254-06 с изменением 5, серийный выпуск","05.05.2023","04.05.2026","СМК+","СМК+","ОС продукции ЦентрГазСерт-Качество», рег. № ОГН4.RU.1115 (ООО НУЦ Качество»)","Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства",""
"ОГН4.RU.1115.B02620","П04407; ПП 03580; ПП 03581","Общество с ограниченной ответственностью Завод Нефтегазоборудование»","Российская Федерация, 410080, Саратовская область, г. Саратов, пр-т Строителей, зд.39Н, стр.6","+7(8452)45-77-77; mail@ngosar.ru; www.ngosar.ru","Общество с ограниченной ответственностью Завод Нефтегазоборудование»","Российская Федерация, 410080, Саратовская область, г. Саратов, пр-т Строителей, зд.39Н, стр.6","+7(8452)45-77-77; mail@ngosar.ru; www.ngosar.ru","ТИП ПРОДУКЦИИ-Автоматизированные газораспределительные станции Голубое пламя»(АГРС, АГРС -НП), изготавливаемые по ТУ 3689?002?55402257?2009 (с изменением 15)","14.06.2023","13.06.2026","СМК+","СМК+","ОС продукции ЦентрГазСерт-Качество», рег. № ОГН4.RU.1115 (ООО НУЦ Качество»)","Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства",""
"ОГН4.RU.1115.B02621","П04408; ПП 03582; ПП 03583","Общество с ограниченной ответственностью Завод Нефтегазоборудование»","Российская Федерация, 410080, Саратовская область, г. Саратов, пр-т Строителей, зд.39Н, стр.6","+7(8452)45-77-77; mail@ngosar.ru; www.ngosar.ru","Общество с ограниченной ответственностью Завод Нефтегазоборудование»","Российская Федерация, 410080, Саратовская область, г. Саратов, пр-т Строителей, зд.39Н, стр.6","+7(8452)45-77-77; mail@ngosar.ru; www.ngosar.ru","ТИП ПРОДУКЦИИ-Блочные котельные установки типа БКУ, изготавливаемые по ТУ 4938 004 55402257 2009 (с изменением 9)","14.06.2023","13.06.2026","СМК+","СМК+","ОС продукции ЦентрГазСерт-Качество», рег. № ОГН4.RU.1115 (ООО НУЦ Качество»)","Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства",""
"ОГН4.RU.1115.B02680","П04693; ПП 03741;       ПП 03742;       ПП 03743;          ПП 03744","Общество с ограниченной ответственностью КОМЭКОПРОМ» (ООО КОМЭКОПРОМ»)","Российская Федерация, 171250, Тверская область, г. Конаково, ул. Восточно-Помышленный район, д. 7","+7(48242)3-01-82; 3-04-28; 101@komekoprom.ru","Общество с ограниченной ответственностью КОМЭКОПРОМ» (ООО КОМЭКОПРОМ»)","Российская Федерация, 171250, Тверская область, г. Конаково, ул. Восточно-Помышленный район, д. 7","+7(48242)3-01-82; 3-04-28; 101@komekoprom.ru","ТИП ПРОДУКЦИИ-Канализационные насосные станции КНС», выпускаемые по ТУ 42.21.13-003-56336261-2021 с изменениями 1-2.","14.07.2023","13.07.2026","СМК+","СМК+","ОС продукции ЦентрГазСерт-Качество», рег. № ОГН4.RU.1115 (ООО НУЦ Качество»)","Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства",""
"ОГН4.RU.1115.B02681","П04694; ПП 03745;      ПП 03746;     ПП 03747;     ПП 03748","Общество с ограниченной ответственностью КОМЭКОПРОМ» (ООО КОМЭКОПРОМ»)","Российская Федерация, 171250, Тверская область, г. Конаково, ул. Восточно-Помышленный район, д. 7","+7(48242)3-01-82; 3-04-28; 101@komekoprom.ru","Общество с ограниченной ответственностью КОМЭКОПРОМ» (ООО КОМЭКОПРОМ»)","Российская Федерация, 171250, Тверская область, г. Конаково, ул. Восточно-Помышленный район, д. 7","+7(48242)3-01-82; 3-04-28; 101@komekoprom.ru","ТИП ПРОДУКЦИИ-Станция насосная пожаротушения марки СПТ», выпускаемые по ТУ 28.13.14-004-56336261-2021 с изменениями 1-2","14.07.2023","13.07.2026","СМК+","СМК+","ОС продукции ЦентрГазСерт-Качество», рег. № ОГН4.RU.1115 (ООО НУЦ Качество»)","Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства",""
"ОГН4.RU.1116.B02249","П03941;","Публичное акционерное общество Газпром автоматизация»","Российская Федерация, 117405, город Москва, вн. тер. г. муниципальный округ Чертаново южное, ул. Кирпичные Выемки, д. 3, помещ. VI ком. 21","+7(499)580-41-40; gazauto@gazprom-auto.ru","Публичное акционерное общество Газпром автоматизация»","Российская Федерация, 117405, город Москва, вн. тер. г. муниципальный округ Чертаново южное, ул. Кирпичные Выемки, д. 3, помещ. VI ком. 21","+7(499)580-41-40; gazauto@gazprom-auto.ru","Система автоматического управления газоперекачивающим агрегатом Неман-Р-11» на базе российских программно-технических средств Текон» (САУ ГПА Неман-Р-11»), выпускаемая по ТУ 28.99.39.190-015-00159093-2017, серийный выпуск","01.02.2023","07.02.2024","Ia","1a","ОС Энергосертификация», рег. № ОГН4.RU.1116 (ООО Энергосертификация»)","Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства","Выдан взамен СС рег. № ОГН4.RU.1305.B00965"
"ОГН4.RU.1116.B02262","П03946;","Общество с ограниченной ответственностью Научно-производственная фирма Вымпел» (ООО НПФ Вымпел»)","Российская Федерация, 410002, Саратовская область, г. Саратов, ул. Московская, д. 66","+7(8452)740-285; saratov@npovympel.ru","Общество с ограниченной ответственностью Научно-производственная фирма Вымпел» (ООО НПФ Вымпел»)","Российская Федерация, 410002, Саратовская область, г. Саратов, ул. Московская, д. 66","+7(8452)740-285; saratov@npovympel.ru","Информационно-управляющие системы (комплексы) для объектов добычи, транспорта, подземного хранения и распределения природного газа, газового конденсата и нефти ГиперФлоу-ТМ», выпускаемые по Техническим условиям КРАУ1.456.010 ТУ изм.18, серийный выпуск.","02.02.2023","01.02.2026","Ia","1a","ОС Энергосертификация», рег. № ОГН4.RU.1116 (ООО Энергосертификация»)","Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства",""
"ОГН4.RU.1116.B02325","П03983; ПП 01036","Акционерное общество Научно-производственная Фирма Система-Сервис»","Российская Федерация, 195009, город Санкт-Петербург, улица Арсенальная, дом 66, корпус 3, стр. 1, офис 401","+7(812)334-01-60; 334-01-61; info@systserv.spb.su","Акционерное общество Научно-производственная Фирма Система-Сервис»","Российская Федерация, 195009, город Санкт-Петербург, улица Арсенальная, дом 66, корпус 3, стр. 1, офис 401","+7(812)334-01-60; 334-01-61; info@systserv.spb.su","Системы автоматического управления МСКУ 6000, выпускаемые по ТУ 28.99.39-068-50843011-2020, серийный выпуск","20.03.2023","23.02.2024","Ib","1b","ОС Энергосертификация», рег. № ОГН4.RU.1116 (ООО Энергосертификация»)","Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства","Выдан взамен СС рег. № ОГН4.RU.1305.B00973"
"ОГН4.RU.1116.B02338","П03994; ПП 01045","Публичное акционерное общество Газпром автоматизация»","Российская Федерация, 117405, город Москва, вн. тер. г. муниципальный округ Чертаново южное, ул. Кирпичные Выемки, д. 3, помещ. VI ком. 21","+7(499)580-41-40; gazauto@gazprom-auto.ru","Публичное акционерное общество Газпром автоматизация»","Российская Федерация, 117405, город Москва, вн. тер. г. муниципальный округ Чертаново южное, ул. Кирпичные Выемки, д. 3, помещ. VI ком. 21","+7(499)580-41-40; gazauto@gazprom-auto.ru","Система автоматического управления САУ Куст-1», выпускаемая по ТУ 4318-004-00159093-2010. Серийный выпуск","24.03.2023","22.03.2024","Ib","1b","ОС Энергосертификация», рег. № ОГН4.RU.1116 (ООО Энергосертификация»)","Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства","Выдан взамен СС рег. № ОГН4.RU.1305.В01023"
"ОГН4.RU.1116.B02341","П03995; ПП 01046","Публичное акционерное общество Газпром автоматизация»","Российская Федерация, 117405, город Москва, вн. тер. г. муниципальный округ Чертаново южное, ул. Кирпичные Выемки, д. 3, помещ. VI ком. 21","+7(499)580-41-40; gazauto@gazprom-auto.ru","Публичное акционерное общество Газпром автоматизация»","Российская Федерация, 117405, город Москва, вн. тер. г. муниципальный округ Чертаново южное, ул. Кирпичные Выемки, д. 3, помещ. VI ком. 21","+7(499)580-41-40; gazauto@gazprom-auto.ru","Устройство связи с объектом Скважина-2» (УСО-2), выпускаемое по ТУ 28.99.39-002-00159093-2015. Серийный выпуск","28.03.2023","22.03.2024","Ia","1a","ОС Энергосертификация», рег. № ОГН4.RU.1116 (ООО Энергосертификация»)","Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства","Выдан взамен СС рег. № ОГН4.RU.1305.В01022"
"ОГН4.RU.1116.B02381","П04506;","Общество с ограниченной ответственностью Вега-ГАЗ»","Российская Федерация, 117534, г. Москва, вн. тер. г. Муниципальный округ Чертаново Южное, ул. Кировоградская, д.23А, этаж 3, пом.73","+7(495)995-44-74; 995-44-80; info@vega-gaz.ru","Общество с ограниченной ответственностью Вега-ГАЗ»","Российская Федерация, 117534, г. Москва, вн. тер. г. Муниципальный округ Чертаново Южное, ул. Кировоградская, д.23А, этаж 3, пом.73","+7(495)995-44-74; 995-44-80; info@vega-gaz.ru","Автоматическая система управления технологическими процессами """"РИУС"""", модификация """"РИУС-Э-Р"""", ТУ 28.99.39-003-47570130-2018","03.04.2023","12.04.2025","Ia","1a","ОС Энергосертификация», рег. № ОГН4.RU.1116 (ООО Энергосертификация»)","Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства","Вместо СС ОГН4.RU.1305.B01672"
"ОГН4.RU.1116.B02387","П04511;","Общество с ограниченной ответственностью Вега-ГАЗ»","Российская Федерация, 117534, г. Москва, вн. тер. г. Муниципальный округ Чертаново Южное, ул. Кировоградская, д.23А, этаж 3, пом.73","+7(495)995-44-74; 995-44-80; info@vega-gaz.ru","Общество с ограниченной ответственностью Вега-ГАЗ»","Российская Федерация, 117534, г. Москва, вн. тер. г. Муниципальный округ Чертаново Южное, ул. Кировоградская, д.23А, этаж 3, пом.73","+7(495)995-44-74; 995-44-80; info@vega-gaz.ru","""Автоматическая система управления технологическими процессами """"РИУС"""", модификация """"РИУС-ГРС"""", ТУ 28.99.39-003-47570130-2018""","04.04.2023","27.04.2025","Ia","1a","ОС Энергосертификация», рег. № ОГН4.RU.1116 (ООО Энергосертификация»)","Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства","Вместо СС ОГН4.RU.1305.B01740"
"ОГН4.RU.1116.B02391","П04512;","Общество с ограниченной ответственностью Вега-ГАЗ»","Российская Федерация, 117534, г. Москва, вн. тер. г. Муниципальный округ Чертаново Южное, ул. Кировоградская, д.23А, этаж 3, пом.73","+7(495)995-44-74; 995-44-80; info@vega-gaz.ru","Общество с ограниченной ответственностью Вега-ГАЗ»","Российская Федерация, 117534, г. Москва, вн. тер. г. Муниципальный округ Чертаново Южное, ул. Кировоградская, д.23А, этаж 3, пом.73","+7(495)995-44-74; 995-44-80; info@vega-gaz.ru","Автоматическая система управления технологическими процессами РИУС"", модификация ""РИУС-Э(КУ)-Р"",ТУ 28.99.39-003-47570130-2018""","06.04.2023","30.05.2025","Ia","1a","ОС Энергосертификация», рег. № ОГН4.RU.1116 (ООО Энергосертификация»)","Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства","Вместо СС_ОГН4.RU.1305.B01792"
"ОГН4.RU.1116.B02400","П04514;","Общество с ограниченной ответственностью Вега-ГАЗ»","Российская Федерация, 117534, г. Москва, вн. тер. г. Муниципальный округ Чертаново Южное, ул. Кировоградская, д.23А, этаж 3, пом.73","+7(495)995-44-74; 995-44-80; info@vega-gaz.ru","Общество с ограниченной ответственностью Вега-ГАЗ»","Российская Федерация, 117534, г. Москва, вн. тер. г. Муниципальный округ Чертаново Южное, ул. Кировоградская, д.23А, этаж 3, пом.73","+7(495)995-44-74; 995-44-80; info@vega-gaz.ru","Автоматическая система управления технологическими процессами """"РИУС"""", модификация """"РИУС-ЭСН-Р"""",ТУ 28.99.39-003-47570130-2018","07.04.2023","16.05.2023","Ia","1a","ОС Энергосертификация», рег. № ОГН4.RU.1116 (ООО Энергосертификация»)","Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства","Вместо СС_ОГН4.RU.1305.B01765"
"ОГН4.RU.1116.B02413","П04523;","Общество с ограниченной ответственностью Вега-ГАЗ»","Российская Федерация, 117534, г. Москва, вн. тер. г. Муниципальный округ Чертаново Южное, ул. Кировоградская, д.23А, этаж 3, пом.73","+7(495)995-44-74; 995-44-80; info@vega-gaz.ru","Общество с ограниченной ответственностью Вега-ГАЗ»","Российская Федерация, 117534, г. Москва, вн. тер. г. Муниципальный округ Чертаново Южное, ул. Кировоградская, д.23А, этаж 3, пом.73","+7(495)995-44-74; 995-44-80; info@vega-gaz.ru","Автоматическая система управления технологическими процессами ""РИУС"", модификация ""РИУС-Р"", выпускаемая по ТУ 28.99.39-003-4750130-2018","17.04.2023","17.04.2025","Ia","1a","ОС Энергосертификация», рег. № ОГН4.RU.1116 (ООО Энергосертификация»)","Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства","Вместо СС_ОГН4.RU.1305.B01700"
